,address,elementary,middle,high_school
120,"186 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
121,"187 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
122,"188 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
123,"189 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
124,"190 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
125,"191 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
126,"192 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
127,"193 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
128,"194 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
129,"195 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
130,"196 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
131,"197 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
132,"198 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
133,"199 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
134,"200 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
135,"201 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
136,"202 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
137,"203 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
138,"204 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
139,"205 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
140,"206 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
141,"207 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
142,"208 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
143,"209 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
144,"210 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
145,"211 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
146,"212 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
147,"213 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
148,"214 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
149,"215 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
150,"216 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
151,"217 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
152,"218 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
153,"219 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
154,"220 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
155,"221 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
156,"222 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
157,"223 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
158,"224 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
159,"225 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
160,"226 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
161,"227 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
162,"228 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
163,"229 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
164,"230 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
165,"231 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
166,"232 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
