Street 	Side 	Low 	High 	Elementary 	Middle 	High School
Gardner Rd 	All 	204 	325 	Orchard 	George Washington MS 	Ridgewood High School
Garfield Pl 	All 	17 	72 	Ridge 	George Washington MS 	Ridgewood High School
Gateway Rd 	All 	202 	267 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
George St 	All 	409 	469 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Gilbert St 	All 	300 	399 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Glenview Rd 	All 	900 	940 	Willard 	George Washington MS 	Ridgewood High School
Glenwood Rd 	All 	45 	399 	Willard 	George Washington MS 	Ridgewood High School
Godwin Ave 	Even 	2 	276 	Orchard 	George Washington MS 	Ridgewood High School
Godwin Ave 	Odd 	5 	237 	Ridge 	George Washington MS 	Ridgewood High School
Godwin Ave 	All 	284 	414 	Ridge 	George Washington MS 	Ridgewood High School
Goffle Rd 	All 	218 	579 	Ridge 	George Washington MS 	Ridgewood High School
Gordon Rd 	All 	480 	495 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Grandview Cir 	Odd 	295 	372 	Orchard 	George Washington MS 	Ridgewood High School
Grandview Cir 	Even 	295 	372 	Ridge 	George Washington MS 	Ridgewood High School
Grant St 	All 	139 	175 	Ridge 	George Washington MS 	Ridgewood High School
Graydon Ter 	All 	306 	380 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Greenway Rd 	All 	201 	332 	Orchard 	George Washington MS 	Ridgewood High School
Grove St 	All 	379 	722 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Hamilton Rd 	All 	70 	411 	Willard 	George Washington MS 	Ridgewood High School
Hammond Rd 	All 	898 	914 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Hampshire Rd 	All 	900 	921 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Hampton Pl 	All 	104 	105 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Hampton Pl 	All 	159 	169 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Hanks Ave 	All 	401 	498 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Hawthorne Pl 	All 	414 	456 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Heermance Pl 	All 	46 	56 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Heights Rd 	All 	5 	405 	Ridge 	George Washington MS 	Ridgewood High School
Heights Rd 	All 	434 	726 	Willard 	George Washington MS 	Ridgewood High School
Hempstead Rd 	All 	204 	271 	Orchard 	George Washington MS 	Ridgewood High School
Henrietta Ct 	All 	3 	21 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Hickory St 	All 	574 	580 	Travell 	Benjamin Franklin MS 	Ridgewood High School
High St 	All 	3 	42 	Orchard 	George Washington MS 	Ridgewood High School
Highland Ave 	All 	107 	353 	Ridge 	George Washington MS 	Ridgewood High School
Highland Ave 	All 	372 	590 	Orchard 	George Washington MS 	Ridgewood High School
Highview Ter 	All 	384 	410 	Orchard 	George Washington MS 	Ridgewood High School
Highwood Ave 	All 	217 	297 	Orchard 	George Washington MS 	Ridgewood High School
Hillcrest Rd 	All 	180 	1093 	Willard 	George Washington MS 	Ridgewood High School
Hope St 	All 	19 	250 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Hopper Ave 	All 	337 	437 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Howard Rd 	All 	657 	735 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Hudson St 	All 	25 	25 	Orchard 	George Washington MS 	Ridgewood High School
Hunter Rd 	All 	444 	480 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Ivy Pl 	All 	251 	275 	Orchard 	George Washington MS 	Ridgewood High School
Jackson Ter 	All 	414 	512 	Willard 	George Washington MS 	Ridgewood High School
James St 	All 	329 	338 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Jeffer Ct 	All 	152 	176 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Jeffer St 	All 	204 	345 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Jefferson St 	All 	326 	432 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Jemco Pl 	All 	510 	554 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
John St 	All 	19 	166 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Katherine Rd 	All 	177 	210 	Orchard 	George Washington MS 	Ridgewood High School
Kemah Rd 	All 	162 	227 	Ridge 	George Washington MS 	Ridgewood High School
Kenilworth Rd 	All 	14 	315 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Kenilworth Rd 	All 	320 	340 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Kensington Dr 	All 	290 	374 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Kenwood Rd 	All 	615 	656 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Kingsbridge Ln 	All 	615 	705 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Kira Ln 	All 	35 	49 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Knickerbocker Rd 	All 	558 	575 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Knollwood Rd 	All 	356 	600 	Orchard 	George Washington MS 	Ridgewood High School
Lake Ave 	All 	111 	139 	Ridge 	George Washington MS 	Ridgewood High School
Lakeview Dr 	All 	218 	340 	Ridge 	George Washington MS 	Ridgewood High School
Laurel Rd 	All 	514 	592 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Lawrence Ct 	All 	96 	127 	Willard 	George Washington MS 	Ridgewood High School
Lenox Ave 	All 	6 	129 	Orchard 	George Washington MS 	Ridgewood High School
Leonard Pl 	All 	36 	52 	Orchard 	George Washington MS 	Ridgewood High School
Leroy Pl 	All 	28 	51 	Orchard 	George Washington MS 	Ridgewood High School
Libby Ave 	All 	230 	333 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Liberty St 	All 	7 	140 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Lincoln Ave 	Odd 	115 	199 	Orchard 	George Washington MS 	Ridgewood High School
Lincoln Ave 	Even 	118 	196 	Ridge 	George Washington MS 	Ridgewood High School
Lincoln Ave 	All 	200 	514 	Orchard 	George Washington MS 	Ridgewood High School
Linden St 	All 	104 	169 	Orchard 	George Washington MS 	Ridgewood High School
Linwood Ave 	All 	128 	165 	Ridge 	George Washington MS 	Ridgewood High School
Linwood Ave 	Even 	306 	474 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Linwood Ave 	Odd 	307 	947 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Linwood Ave 	Even 	506 	752 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Linwood Ave 	Odd 	1065 	1127 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Litchfield St 	All 	359 	386 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Lockwood Rd 	All 	225 	260 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Lotte Rd 	All 	205 	280 	Orchard 	George Washington MS 	Ridgewood High School
Lotus Rd 	All 	519 	562 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Lowell Rd 	All 	170 	170 	Orchard 	George Washington MS 	Ridgewood High School
Lucille Ct 	All 	415 	424 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Lynn St 	All 	525 	562 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Madison Pl 	All 	60 	219 	Ridge 	George Washington MS 	Ridgewood High School
Maltbie Ave 	All 	10 	110 	Ridge 	George Washington MS 	Ridgewood High School
Manchester Rd 	All 	324 	405 	Willard 	George Washington MS 	Ridgewood High School
Manor Rd 	All 	205 	345 	Orchard 	George Washington MS 	Ridgewood High School
Marshall St 	All 	303 	367 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Mary ann Pl 	All 	727 	730 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Mastin Pl 	All 	292 	342 	Ridge 	George Washington MS 	Ridgewood High School
Maxwell Pl 	All 	610 	721 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Maynard Ct 	All 	5 	34 	Ridge 	George Washington MS 	Ridgewood High School
McGuire Ct 	All 	10 	40 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
McKinley Pl 	All 	161 	354 	Orchard 	George Washington MS 	Ridgewood High School
McKinley Pl 	All 	355 	355 	Ridge 	George Washington MS 	Ridgewood High School
Meadowbrook Ave 	All 	275 	449 	Travell 	Benjamin Franklin MS 	Ridgewood High School
